"RunCode","RunName","MeasuringProgram","StationCode","StationName","StationNumber","SAM_Code","PhysicalDataID","SampleDate.field","SampleDate.WDL","SamplingDate","SamplingTime","SampleNumber","SampleTime","LabOrField","Recorder","Field.Check","Crew","YSI","WeatherCode","Secchi","WaterTemperature","DO","SpCnd","EC","pH","Tide","Microcyst","VegRank","Turb","SurfaceIRR","Depth1","Depth2","Depth3","Depth4","SubSurfaceIRR1","SubSurfaceIRR2","SubSurfaceIRR3","SubSurfaceIRR4","FieldComments_Light","LightData","DriftData","LarvalData","150_ZoopData","50_ZoopData","PhytoData","ChlData","NutrData","FieldComments_WQ","DataCorrectionComments","EnteredBy","QAQCBy"
"ESA0110B0002","Yolo Bypass 2010","YBFMP","SHR","SHER","A0200000","ESA0110B0003",281,2010-01-06 09:26:00,2010-01-06 10:28:00,2010-01-06,"09:26:00","","","","",FALSE,"JM,OL,LC,MB",NA,"FOG",0.75,9.6,10.46,NA,132,7.51,"",NA,"",NA,257.1,0.02,0.04,0.51,1.23,192.79,130.71,64.77,25.51,"",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"","","",""
"ESA0110B0002","Yolo Bypass 2010","YBFMP","SHR","SHER","A0200000","ESA0110B0001",281,2010-01-06 09:26:00,2010-01-06 10:28:00,2010-01-06,"09:26:00","","","","",FALSE,"JM,OL,LC,MB",NA,"FOG",0.75,9.6,10.46,NA,132,7.51,"",NA,"",NA,257.1,0.02,0.04,0.51,1.23,192.79,130.71,64.77,25.51,"",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"","","",""
"ESA0110B0002","Yolo Bypass 2010","YBFMP","STTD","Toe Drain at STTD","A0D82120386","ESA0110B0002",282,2010-01-06 11:36:00,2010-01-06 12:00:00,2010-01-06,"11:36:00","","","","",FALSE,"JM.OL,MB,LC",NA,"FOG",0.25,9.5,8.43,NA,450,7.4,"",NA,"",NA,433.8,0.02,0.05,0.26,0.46,321,219.1,108.11,42.12,"",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Low flow rotor used","","",""
"ESA0110B0002","Yolo Bypass 2010","YBFMP","STTD","Toe Drain at STTD","A0D82120386","ESA0110B0004",282,2010-01-06 11:36:00,2010-01-06 12:00:00,2010-01-06,"11:36:00","","","","",FALSE,"JM.OL,MB,LC",NA,"FOG",0.25,9.5,8.43,NA,450,7.4,"",NA,"",NA,433.8,0.02,0.05,0.26,0.46,321,219.1,108.11,42.12,"",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Low flow rotor used","","",""
"ESA0110B0003","Yolo Bypass 2009","YBFMP","SHR","SHER","A0200000","ESA0110B0007",283,2010-01-13 09:18:00,2010-01-13 09:18:00,2010-01-13,"09:18:00","","","","",FALSE,"JM,OL,LC",NA,"CLR",0.72,9.8,11.03,NA,134,7.79,"",NA,"",NA,1708,0.03,0.06,0.42,2.07,1331.9,873.2,434.2,26.55,"",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"","","",""
"ESA0110B0003","Yolo Bypass 2009","YBFMP","SHR","SHER","A0200000","ESA0110B0005",283,2010-01-13 09:18:00,2010-01-13 09:18:00,2010-01-13,"09:18:00","","","","",FALSE,"JM,OL,LC",NA,"CLR",0.72,9.8,11.03,NA,134,7.79,"",NA,"",NA,1708,0.03,0.06,0.42,2.07,1331.9,873.2,434.2,26.55,"",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"","","",""
"ESA0110B0003","Yolo Bypass 2009","YBFMP","STTD","Toe Drain at STTD","A0D82120386","ESA0110B0006",284,2010-01-13 10:56:00,2010-01-13 10:56:00,2010-01-13,"10:56:00","","","","",FALSE,"JM,OL,LC",NA,"CLR",0.22,10,8.94,NA,478,7.4,"",NA,"",NA,1880.4,0.02,0.06,0.15,0.82,1407.4,1940.6,456.5,18.84,"",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Tide went slack during Zoop sampling","","",""
"ESA0110B0003","Yolo Bypass 2009","YBFMP","STTD","Toe Drain at STTD","A0D82120386","ESA0110B0008",284,2010-01-13 10:56:00,2010-01-13 10:56:00,2010-01-13,"10:56:00","","","","",FALSE,"JM,OL,LC",NA,"CLR",0.22,10,8.94,NA,478,7.4,"",NA,"",NA,1880.4,0.02,0.06,0.15,0.82,1407.4,1940.6,456.5,18.84,"",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Tide went slack during Zoop sampling","","",""
"ESA0110B0007","Yolo Bypass 2009","YBFMP","SHR","SHER","A0200000","ESA0110B0021",286,2010-01-21 09:10:00,2010-01-21 09:12:00,2010-01-21,"09:10:00","","","","",FALSE,"JM,OL,LC",NA,"CLD",0.09,9.4,9.65,NA,81,7.67,"",NA,"",NA,135,0.06,0.08,0.11,0.39,105.9,68.9,33.8,1.5,"",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"","","",""
"ESA0110B0007","Yolo Bypass 2009","YBFMP","STTD","Toe Drain at STTD","A0D82120386","ESA0110B0022",285,2010-01-21 11:07:00,2010-01-21 11:21:00,2010-01-21,"11:07:00","","","","",FALSE,"JM,OL,LC",NA,"RAN",0.04,9,9.02,NA,222,7.5,"",NA,"",NA,129.7,0.03,0.05,0.07,0.26,94.3,60.8,32.7,1.2,"",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"","","",""
